"","pairid","Cluster_identity","cluster","co_exp_prop","host_only_prop","nested_only_prop","not_expressing_prop"
"1","10528_ID","Endothelial cells","3",0,0.0987654320987654,0,0.901234567901235
"2","10528_ID","Pachytene","3",0.00100502512562814,0.057286432160804,0.00703517587939699,0.934673366834171
"3","10528_ID","Early spermatids","3",0,0.940446650124069,0.000620347394540943,0.0589330024813896
"4","10528_ID","Diff.spermatogonia/Preleptotene","3",0,0.0518394648829431,0,0.948160535117057
"5","10528_ID","Leydig cells","3",0,0.0681818181818182,0,0.931818181818182
"6","10528_ID","Leptotene","3",0,0.106753812636166,0,0.893246187363834
"7","10528_ID","Undifferentiated spermatogonia","3",0,0.0603248259860789,0.000773395204949729,0.938901778808971
"8","10528_ID","Late spermatids","3",0.000509164969450102,0.656822810590631,0,0.342668024439919
"9","10528_ID","Zygotene","3",0,0.0665972944849116,0,0.933402705515088
"10","10528_ID","PMCs","3",0,0.137857900318134,0,0.862142099681866
"11","10528_ID","Meiotic divisions","3",0.0024588148512417,0.595033194000492,0.00122940742562085,0.401278583722646
"12","10528_ID","Fibrotic peritubular myoid cells","3",0,0.11340206185567,0,0.88659793814433
"13","10528_ID","Macrophages","3",0,0.0555555555555556,0,0.944444444444444
"14","10528_ID","Sertoli cells","3",0,0.0416666666666667,0.00595238095238095,0.952380952380952
"15","10528_ID","Diplotene","3",0.00515222482435597,0.246370023419204,0.00421545667447307,0.744262295081967
"16","10529_ID","Undifferentiated spermatogonia","3",0,0.0146945088940449,0.000773395204949729,0.984532095901005
"17","10529_ID","Zygotene","3",0,0.0114464099895942,0,0.988553590010406
"18","10529_ID","Late spermatids","3",0,0.0672097759674134,0.000509164969450102,0.932281059063137
"19","10529_ID","Early spermatids","3",0,0.21712158808933,0.000620347394540943,0.782258064516129
"20","10529_ID","Leydig cells","3",0,0,0,1
"21","10529_ID","Pachytene","3",0,0.0120603015075377,0.00804020100502513,0.979899497487437
"22","10529_ID","Diff.spermatogonia/Preleptotene","3",0,0.00668896321070234,0,0.993311036789298
"23","10529_ID","Macrophages","3",0,0,0,1
"24","10529_ID","Sertoli cells","3",0,0.0119047619047619,0.00595238095238095,0.982142857142857
"25","10529_ID","Endothelial cells","3",0,0.0123456790123457,0,0.987654320987654
"26","10529_ID","Diplotene","3",0,0.0173302107728337,0.00936768149882904,0.973302107728337
"27","10529_ID","PMCs","3",0,0.0212089077412513,0,0.978791092258749
"28","10529_ID","Fibrotic peritubular myoid cells","3",0,0,0,1
"29","10529_ID","Meiotic divisions","3",0.00049176297024834,0.128841898205065,0.00319645930661421,0.867469879518072
"30","10529_ID","Leptotene","3",0,0.0130718954248366,0,0.986928104575163
"31","10530_ID","Meiotic divisions","3",0.00049176297024834,0.280550774526678,0.00319645930661421,0.715761003196459
"32","10530_ID","Macrophages","3",0,0,0,1
"33","10530_ID","Fibrotic peritubular myoid cells","3",0,0.0154639175257732,0,0.984536082474227
"34","10530_ID","Undifferentiated spermatogonia","3",0,0.0317092034029389,0.000773395204949729,0.967517401392111
"35","10530_ID","Diff.spermatogonia/Preleptotene","3",0,0.0334448160535117,0,0.966555183946488
"36","10530_ID","Sertoli cells","3",0,0.125,0.00595238095238095,0.869047619047619
"37","10530_ID","Pachytene","3",0,0.0160804020100503,0.00804020100502513,0.975879396984925
"38","10530_ID","Leydig cells","3",0,0.0227272727272727,0,0.977272727272727
"39","10530_ID","Early spermatids","3",0.000620347394540943,0.478908188585608,0,0.520471464019851
"40","10530_ID","Late spermatids","3",0,0.397148676171079,0.000509164969450102,0.602342158859471
"41","10530_ID","Diplotene","3",0.000936768149882904,0.0941451990632318,0.00843091334894614,0.896487119437939
"42","10530_ID","PMCs","3",0,0.0509013785790032,0,0.949098621420997
"43","10530_ID","Zygotene","3",0,0.0218522372528616,0,0.978147762747138
"44","10530_ID","Endothelial cells","3",0,0.0246913580246914,0,0.975308641975309
"45","10530_ID","Leptotene","3",0,0.0261437908496732,0,0.973856209150327
"46","11961_ID","Pachytene","3",0.00100502512562814,0.0422110552763819,0.0050251256281407,0.951758793969849
"47","11961_ID","Endothelial cells","3",0,0.271604938271605,0,0.728395061728395
"48","11961_ID","Leydig cells","3",0,0.0909090909090909,0,0.909090909090909
"49","11961_ID","Sertoli cells","3",0.00595238095238095,0.0416666666666667,0.00595238095238095,0.946428571428571
"50","11961_ID","Late spermatids","3",0.00203665987780041,0.0336048879837067,0.0325865580448065,0.931771894093686
"51","11961_ID","Macrophages","3",0,0,0,1
"52","11961_ID","PMCs","3",0,0.0254506892895016,0.0095440084835631,0.965005302226935
"53","11961_ID","Fibrotic peritubular myoid cells","3",0,0.0309278350515464,0,0.969072164948454
"54","11961_ID","Diff.spermatogonia/Preleptotene","3",0,0.0117056856187291,0.00167224080267559,0.986622073578595
"55","11961_ID","Zygotene","3",0,0.0176899063475546,0.00416233090530697,0.978147762747138
"56","11961_ID","Diplotene","3",0,0.0154566744730679,0.00187353629976581,0.982669789227166
"57","11961_ID","Early spermatids","3",0.00372208436724566,0.0279156327543424,0.122828784119107,0.845533498759305
"58","11961_ID","Meiotic divisions","3",0.00049176297024834,0.024588148512417,0.0147528891074502,0.960167199409884
